id,merchant_id,purchase_count,lifetime_value,days_since_last_purchase,average_order_value,cart_status,segment,customer_id,name,email
861eff4711a542e4b93843c6dd7febb0,olist_merchant_001,1,146.87,469,146.87,purchased,,861eff4711a542e4b93843c6dd7febb0,,
290c77bc529b7ac935b93aa66c333dc3,olist_merchant_001,1,335.48,228,335.48,purchased,,290c77bc529b7ac935b93aa66c333dc3,,
060e732b5b29e8181a18229c7b0b2b5e,olist_merchant_001,1,157.73,101,157.73,purchased,,060e732b5b29e8181a18229c7b0b2b5e,,
259dac757896d24d7702b9acbbff3f3c,olist_merchant_001,1,173.3,168,173.3,purchased,,259dac757896d24d7702b9acbbff3f3c,,
345ecd01c38d18a9036ed96c73b8d066,olist_merchant_001,1,252.25,31,252.25,purchased,,345ecd01c38d18a9036ed96c73b8d066,,
4c93744516667ad3b8f1fb645a3116a4,olist_merchant_001,2,565.88,318,282.94,purchased,,4c93744516667ad3b8f1fb645a3116a4,,
addec96d2e059c80c30fe6871d30d177,olist_merchant_001,1,22.77,191,22.77,purchased,,addec96d2e059c80c30fe6871d30d177,,
57b2a98a409812fe9618067b6b8ebe4f,olist_merchant_001,1,36.01,285,36.01,purchased,,57b2a98a409812fe9618067b6b8ebe4f,,
1175e95fb47ddff9de6b2b06188f7e0d,olist_merchant_001,2,83.19,223,41.59,purchased,,1175e95fb47ddff9de6b2b06188f7e0d,,
9afe194fb833f79e300e37e580171f22,olist_merchant_001,1,122.47,233,122.47,purchased,,9afe194fb833f79e300e37e580171f22,,
2a7745e1ed516b289ed9b29c7d0539a5,olist_merchant_001,1,40.4,274,40.4,purchased,,2a7745e1ed516b289ed9b29c7d0539a5,,
2a46fb94aef5cbeeb850418118cee090,olist_merchant_001,1,153.13,203,153.13,purchased,,2a46fb94aef5cbeeb850418118cee090,,
918dc87cd72cd9f6ed4bd442ed785235,olist_merchant_001,1,117.31,354,117.31,purchased,,918dc87cd72cd9f6ed4bd442ed785235,,
295c05e81917928d76245e842748184d,olist_merchant_001,2,281.5,84,140.75,purchased,,295c05e81917928d76245e842748184d,,
3151a81801c8386361b62277d7fa5ecf,olist_merchant_001,1,102.47,149,102.47,purchased,,3151a81801c8386361b62277d7fa5ecf,,
21f748a16f4e1688a9014eb3ee6fa325,olist_merchant_001,1,169.23,211,169.23,purchased,,21f748a16f4e1688a9014eb3ee6fa325,,
5c2991dbd08bbf3cf410713c4de5a0b5,olist_merchant_001,1,136.93,15,136.93,purchased,,5c2991dbd08bbf3cf410713c4de5a0b5,,
b6e99561fe6f34a55b0b7da92f8ed775,olist_merchant_001,1,16.53,72,16.53,purchased,,b6e99561fe6f34a55b0b7da92f8ed775,,
7f3a72e8f988c6e735ba118d54f47458,olist_merchant_001,1,102.03,475,102.03,purchased,,7f3a72e8f988c6e735ba118d54f47458,,
3e6fd6b2f0d499456a6a6820a40f2d79,olist_merchant_001,1,54.62,300,54.62,purchased,,3e6fd6b2f0d499456a6a6820a40f2d79,,
e607ede0e63436308660236f5a52da5e,olist_merchant_001,1,123.0,381,123.0,purchased,,e607ede0e63436308660236f5a52da5e,,
a96d5cfa0d3181817e2b946f921ea021,olist_merchant_001,1,232.71,318,232.71,purchased,,a96d5cfa0d3181817e2b946f921ea021,,
482441ea6a06b1f72fe9784756c0ea75,olist_merchant_001,1,163.13,113,163.13,purchased,,482441ea6a06b1f72fe9784756c0ea75,,
4390ddbb6276a66ff1736a6710205dca,olist_merchant_001,1,94.63,502,94.63,purchased,,4390ddbb6276a66ff1736a6710205dca,,
a5844ba4bfc8d0cc61d13027c7e63bcc,olist_merchant_001,1,80.11,105,80.11,purchased,,a5844ba4bfc8d0cc61d13027c7e63bcc,,
5f102dd37243f152aec3607970aad100,olist_merchant_001,1,56.78,201,56.78,purchased,,5f102dd37243f152aec3607970aad100,,
9c0096673baf55453a50073f12d1a37f,olist_merchant_001,1,62.39,46,62.39,purchased,,9c0096673baf55453a50073f12d1a37f,,
2e6a42a9b5cbb0da62988694f18ee295,olist_merchant_001,1,47.59,470,47.59,purchased,,2e6a42a9b5cbb0da62988694f18ee295,,
4d221875624017bc47b4d1ce7314a5b7,olist_merchant_001,1,69.12,278,69.12,purchased,,4d221875624017bc47b4d1ce7314a5b7,,
a8654e2af5da6bb72f52c22b164855e1,olist_merchant_001,1,58.69,96,58.69,purchased,,a8654e2af5da6bb72f52c22b164855e1,,
424aca6872c5bab80780a8dec03b7516,olist_merchant_001,1,73.34,351,73.34,purchased,,424aca6872c5bab80780a8dec03b7516,,
bf4862777db128507e9efcc789215e9b,olist_merchant_001,1,62.44,275,62.44,purchased,,bf4862777db128507e9efcc789215e9b,,
e9dd12dca17352644a959d9dea133935,olist_merchant_001,2,113.83,133,56.91,purchased,,e9dd12dca17352644a959d9dea133935,,
e079b18794454de9d2be5c12b4392294,olist_merchant_001,2,437.78,440,218.89,purchased,,e079b18794454de9d2be5c12b4392294,,
ef07ba9aa5226f77264ffa5762b2280b,olist_merchant_001,1,45.73,170,45.73,purchased,,ef07ba9aa5226f77264ffa5762b2280b,,
85d234692f7bee8d6fea586e237334b6,olist_merchant_001,1,62.06,112,62.06,purchased,,85d234692f7bee8d6fea586e237334b6,,
fe3634ccefbcdb0537b45fd589e32e8e,olist_merchant_001,1,103.55,320,103.55,purchased,,fe3634ccefbcdb0537b45fd589e32e8e,,
40febde16f4718a5def537786473b0be,olist_merchant_001,1,60.0,384,60.0,purchased,,40febde16f4718a5def537786473b0be,,
07d190f123147d9e89d4b922543d7948,olist_merchant_001,1,315.75,52,315.75,purchased,,07d190f123147d9e89d4b922543d7948,,
dd992305cba295d997f263dbdf4e8c2e,olist_merchant_001,1,49.09,199,49.09,purchased,,dd992305cba295d997f263dbdf4e8c2e,,
86085586aaa8c5f47ed0b400da64c59d,olist_merchant_001,1,85.81,54,85.81,purchased,,86085586aaa8c5f47ed0b400da64c59d,,
5ad58a4e6a1a656b6bed070cadbaa003,olist_merchant_001,1,96.8,254,96.8,purchased,,5ad58a4e6a1a656b6bed070cadbaa003,,
c9158d089637ab443c78984d20da7fc0,olist_merchant_001,2,151.36,209,75.68,purchased,,c9158d089637ab443c78984d20da7fc0,,
66cc90195ca44cc7ac6a1cd0e1e1e7b2,olist_merchant_001,1,30.4,323,30.4,purchased,,66cc90195ca44cc7ac6a1cd0e1e1e7b2,,
91ec50a00ae74d0a229d2efdf4344e1e,olist_merchant_001,1,218.49,107,218.49,purchased,,91ec50a00ae74d0a229d2efdf4344e1e,,
d251c190ca75786e9ab937982d60d1d4,olist_merchant_001,1,50.92,133,50.92,purchased,,d251c190ca75786e9ab937982d60d1d4,,
233896de79986082f1f479f1f85281cb,olist_merchant_001,0,0.0,999,0.0,,,233896de79986082f1f479f1f85281cb,,
a8ae36a2bb6c2bbc3b5d62ede131c9ef,olist_merchant_001,0,0.0,999,0.0,,,a8ae36a2bb6c2bbc3b5d62ede131c9ef,,
8d46223c91cbeb93e0930ca8bd8ffca2,olist_merchant_001,1,171.32,276,171.32,purchased,,8d46223c91cbeb93e0930ca8bd8ffca2,,
e021e698833bdeb89dfef3acb2e91f37,olist_merchant_001,1,239.64,580,239.64,purchased,,e021e698833bdeb89dfef3acb2e91f37,,
27cf4b153010911a0957150255a6c6db,olist_merchant_001,1,465.4,136,465.4,purchased,,27cf4b153010911a0957150255a6c6db,,
7ce5b57a120a2da6a804afa58ffcbfb5,olist_merchant_001,1,226.72,99,226.72,purchased,,7ce5b57a120a2da6a804afa58ffcbfb5,,
d33eeadf54cb883e79be640f38c32cdc,olist_merchant_001,1,186.27,211,186.27,purchased,,d33eeadf54cb883e79be640f38c32cdc,,
3da7750bf3c1dbd724624a60a9f5942b,olist_merchant_001,1,72.26,110,72.26,purchased,,3da7750bf3c1dbd724624a60a9f5942b,,
d85547cd859833520b311b4458a14c1c,olist_merchant_001,1,809.7,445,809.7,purchased,,d85547cd859833520b311b4458a14c1c,,
3af0b2f7654f613ff1527b997a2ac57e,olist_merchant_001,1,36.69,207,36.69,purchased,,3af0b2f7654f613ff1527b997a2ac57e,,
3d49f4455a3947c8dd7e972b3ad8cb76,olist_merchant_001,1,157.12,212,157.12,purchased,,3d49f4455a3947c8dd7e972b3ad8cb76,,
b03e9d9818ee170e9d6b983803c7d406,olist_merchant_001,1,232.22,414,232.22,purchased,,b03e9d9818ee170e9d6b983803c7d406,,
a302a693d5722d95984e6472150b9391,olist_merchant_001,1,151.6,83,151.6,purchased,,a302a693d5722d95984e6472150b9391,,
c80da60feddb7cf8325bd104032e314a,olist_merchant_001,1,77.3,152,77.3,purchased,,c80da60feddb7cf8325bd104032e314a,,
a2b8841410cf77619574d311cd06fd5e,olist_merchant_001,1,304.55,154,304.55,purchased,,a2b8841410cf77619574d311cd06fd5e,,
7677c213007e9a6ec9267ea50b5ce5bc,olist_merchant_001,1,18.77,190,18.77,purchased,,7677c213007e9a6ec9267ea50b5ce5bc,,
0c17f9ac28cbd7323f0f4043e9db5907,olist_merchant_001,1,128.48,112,128.48,purchased,,0c17f9ac28cbd7323f0f4043e9db5907,,
332cf4e83e16004ba7dca932ce82475b,olist_merchant_001,1,146.21,513,146.21,purchased,,332cf4e83e16004ba7dca932ce82475b,,
0d516ca029d6a28d5cfddd80b27a26dc,olist_merchant_001,1,187.53,283,187.53,purchased,,0d516ca029d6a28d5cfddd80b27a26dc,,
b3548d0cec408ae13d143bb4eeebaa6c,olist_merchant_001,1,27.68,332,27.68,purchased,,b3548d0cec408ae13d143bb4eeebaa6c,,
c3293e875ffb1116018edf76d24e52a2,olist_merchant_001,1,150.15,266,150.15,purchased,,c3293e875ffb1116018edf76d24e52a2,,
d89e05e2d23c3d8247aeecd07758004b,olist_merchant_001,1,46.78,351,46.78,purchased,,d89e05e2d23c3d8247aeecd07758004b,,
dad5018ffc0de85eb72f72575b552784,olist_merchant_001,1,252.42,354,252.42,purchased,,dad5018ffc0de85eb72f72575b552784,,
95700615deef776ed32faa08f0be634e,olist_merchant_001,1,175.33,29,175.33,purchased,,95700615deef776ed32faa08f0be634e,,
b157c176c3fe04914fde33f2dc8b878a,olist_merchant_001,0,0.0,999,0.0,,,b157c176c3fe04914fde33f2dc8b878a,,
d4397835ae287e492b186d497099439a,olist_merchant_001,1,55.36,161,55.36,purchased,,d4397835ae287e492b186d497099439a,,
76b029c87118a29f2e3de420f5ec2fa2,olist_merchant_001,1,372.52,244,372.52,purchased,,76b029c87118a29f2e3de420f5ec2fa2,,
7eaa86786b5955ab188db287f4726d79,olist_merchant_001,1,251.28,336,251.28,purchased,,7eaa86786b5955ab188db287f4726d79,,
b436a108536c1dabbc1d3e808d782df9,olist_merchant_001,1,29.0,244,29.0,purchased,,b436a108536c1dabbc1d3e808d782df9,,
cd076285a12f40041b32f5ad8c98699f,olist_merchant_001,1,61.1,524,61.1,purchased,,cd076285a12f40041b32f5ad8c98699f,,
cf6d4152d758efc43910e0141ae5b912,olist_merchant_001,1,361.2,7,361.2,purchased,,cf6d4152d758efc43910e0141ae5b912,,
468d559ef2dcd2bea6d8db78959fb90f,olist_merchant_001,1,39.15,4,39.15,purchased,,468d559ef2dcd2bea6d8db78959fb90f,,
7556f182460418cf30957e6ce377c674,olist_merchant_001,1,62.31,170,62.31,purchased,,7556f182460418cf30957e6ce377c674,,
e5dbefdfdf3eff75c8e6cd655f128279,olist_merchant_001,0,0.0,999,0.0,,,e5dbefdfdf3eff75c8e6cd655f128279,,
67d21c8bea9d6017d1b124d3879dd815,olist_merchant_001,1,133.28,158,133.28,purchased,,67d21c8bea9d6017d1b124d3879dd815,,
fd2d5fdb84e65fa6b54b98b0e2df5645,olist_merchant_001,1,80.57,463,80.57,purchased,,fd2d5fdb84e65fa6b54b98b0e2df5645,,
d491a65a6ef3c04e145d37395996bad7,olist_merchant_001,1,27.71,530,27.71,purchased,,d491a65a6ef3c04e145d37395996bad7,,
